CD;Pto Op;Tienda;Formato;Region Geografica;Zona Geografica;CALENDARIZADO;DIA DE ENTREGA
Malvinas;163;MINI - SAN JERONIMO 444 CBA;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;173;MINI - CASEROS 243 CBA;Express;CENTRO;C¢rdoba;MV;MJ
Malvinas;194;MINI - JACINTO DE A. 1679 (194);Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;222;Mini Parana 473 Cba;Express;CENTRO;C¢rdoba;LX;XV
Malvinas;223;Mini Octavio Pinto 2665 Cba;Express;CENTRO;C¢rdoba;LJV;MXS
Malvinas;224;Mini Ambrosio Olmos 929 Cba;Express;CENTRO;C¢rdoba;LJV;MXS
Malvinas;225;Mini Jose Roque Funes 1145 Cba;Express;CENTRO;C¢rdoba;XV;MS
Malvinas;245;Mini Av San Martin 2999;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;251;Proxi Arce 730;Express;CABA Y GBA;Capital Federal;LXV;LMJ
Malvinas;265;Proxi Angel Gallardo 30;Express;CABA Y GBA;Capital Federal;MXJS;LXJV
Malvinas;270;MINI - JOSE INGENIEROS 59 Cba;Express;CENTRO;C¢rdoba;LXV;MXV
Malvinas;273;MINI - AV. CABILDO 3722;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;280;MINI - CHINA 1045;Express;CENTRO;C¢rdoba;MV;MJ
Malvinas;281;MINI - SAGRADA FAMILIA 1305;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;300;Proxi Gral Deheza 2239;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;306;Proxi Fray Oro 2709;Express;CABA Y GBA;Capital Federal;MJV;LXV
Malvinas;309;Proxi Campana 3050;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;310;Proxi Chivilcoy 3840;Express;CABA Y GBA;Capital Federal;LMJV;MXVS
Malvinas;311;Proxi Monroe 2771;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;312;Proxi Cervi¤o 4634;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;313;Proxi Monta¤eses 2267;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;314;Proxi Segurola 2344;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;315;Proxi Varela 3191;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;317;Proxi Anchorena 1253;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;320;Proxi Sucre 2490;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;322;Proxi Del Carril 3210;Express;CABA Y GBA;Capital Federal;LXJV;LMJV
Malvinas;325;Proxi Vidal 2355;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;326;Proxi Jonte 4872;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;327;Proxi Las Heras 2643;Express;CABA Y GBA;Capital Federal;LMJV;MXVS
Malvinas;328;Proxi Godoy Cruz 2793;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;331;Proxi Charcas 3171;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;332;Proxi Billinghurst 1380;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;335;Proxi Cuba 2776;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;336;Proxi Charcas 3315;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;337;Proxi Lacroze 2566;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;339;Proxi Los Incas 4466;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;343;Proxi Amenabar 1187;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;347;Proxi Pacheco de Melo 2648;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;349;Proxi Av Cabildo 34;Express;CABA Y GBA;Capital Federal;MJV;LXV
Malvinas;351;Proxi Echeverr¡a 2067;Express;CABA Y GBA;Capital Federal;LMXJV;MXJVS
Malvinas;360;Proxi Los Incas 5174;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;361;Proxi Moldes 1718;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;364;Proxi Ciudad de la Paz 353;Express;CABA Y GBA;Capital Federal;MJV;LXV
Malvinas;365;Proxi Nazca 1944;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;367;Proxi Estado de Israel 4309;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;368;Proxi Cuba 2919;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;371;Proxi Olazabal 5483;Express;CABA Y GBA;Capital Federal;LXVS;LMJS
Malvinas;373;Proxi 11 de Septiembre 3910;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;374;Proxi Av. R¢mulo Naon 2401;Express;CABA Y GBA;Capital Federal;LXVS;LMJS
Malvinas;376;Proxi Jonte 3709;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;378;Proxi Billinghurst 1872-6;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;380;Proxi Otamendi 454;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;391;Proxi Cabildo 2865;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;392;Proxi J. L. Borges 2463-65;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;394;Proxi Santa Fe 4489-91;Express;CABA Y GBA;Capital Federal;LXV;LMJ
Malvinas;395;Proxi Federico Lacroze 4106;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;396;Proxi San Martin 2289;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;397;Proxi Corrientes 5980;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;403;Proxi Av Santa Fe 5052;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;404;Proxi Medrano 686;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;409;Proxi Gaona 3567;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;417;Proxi F. Cayetano 464;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;420;Proxi Av. Gaona 1384;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;424;Proxi Mitre 226 (Lujan);Express;CABA Y GBA;GBA;MXJS;LXJV
Malvinas;425;Proxi J.M. de Rosas 2533 (J.L.S.);Express;CABA Y GBA;GBA;LXJV;LMJV
Malvinas;426;Proxi Monta¤eses 2067;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;428;Proxi Rosario N§4558(Sordeaux);Express;CABA Y GBA;GBA;LXV;MJS
Malvinas;430;Proxi carrillo 2170 (S.Martin);Express;CABA Y GBA;GBA;MJV;LXV
Malvinas;431;Proxi Av.Peron 3283 (Victoria);Express;CABA Y GBA;GBA;LXJ;MJV
Malvinas;433;Proxi Madero 1050 -R26 (D.Viso);Express;CABA Y GBA;GBA;MXJV;XJV
Malvinas;435;Proxi Ruta 26 162 (Savio);Express;CABA Y GBA;GBA;LXV;MJS
Malvinas;436;Proxi Parana  6543 (V. Adelina);Express;CABA Y GBA;GBA;LMJ;MXV
Malvinas;437;Proxi Centenario 1890 (Beccar);Express;CABA Y GBA;GBA;LXJ;MJV
Malvinas;438;Proxi 25 Mayo 2650(Polvorines);Express;CABA Y GBA;GBA;LMJV;LMXV
Malvinas;440;Proxi Av. Cazon 1336 (Tigre);Express;CABA Y GBA;GBA;LXJ;MJV
Malvinas;441;Proxi V. Sarfield 4690 (Munro);Express;CABA Y GBA;GBA;LMJV;MXVS
Malvinas;469;Proxi Fraga 1629 (San Miguel);Express;CABA Y GBA;GBA;LXJV;LMJV
Malvinas;470;Proxi El Payadir 5550 (V.Bosch);Express;CABA Y GBA;GBA;MJV;LXV
Malvinas;472;Proxi Jauretche1125(Hurlingham);Express;CABA Y GBA;GBA;LXV;MJS
Malvinas;478;Proxi Misiones 6572 (Palomar);Express;CABA Y GBA;GBA;LXJV;LMJV
Malvinas;484;Proxi del Carril 49(P.del Rey);Express;CABA Y GBA;GBA;MJV;LXV
Malvinas;492;Proxi Pedro Lozano 3150;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;493;Proxi Charcas 3940;Express;CABA Y GBA;Capital Federal;MJV;XVS
Malvinas;494;Proxi Fco Segui 1519 (G.bourg);Express;CABA Y GBA;GBA;MJV;XVS
Malvinas;521;Proxi Urquiza 4855 (Urquiza);Express;CABA Y GBA;GBA;LXJV;LMJV
Malvinas;524;Proxi Irigoyen 746(G.Rodriguez);Express;CABA Y GBA;GBA;MXJV;XJV
Malvinas;525;Proxi Cris¢logo Larralde 3721;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;526;roxi Honororio Pueyrred¢n 925;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;527;Proxi Fray J Sta M de Oro 2121;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;528;Proxi Aguirre 236;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;531;Proxi Ar‚valo 1736;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;536;Proxi Ricardo Balbin 4189;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;537;Proxi Charcas 4367;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;539;Proxi Donato Alvarez 837;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;542;Proxi Segurola 279;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;543;Proxi Olazabal 5179;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;547;Proxi Av. Dorrego 851;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;548;Proxi Congreso 5241;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;550;Proxi Sarmiento 3885;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;551;Proxi Monroe 3576;Express;CABA Y GBA;Capital Federal;MJV;LXV
Malvinas;553;Proxi Cuzco 135;Express;CABA Y GBA;Capital Federal;LXJV;MJVS
Malvinas;555;Proxi Guemes 4161;Express;CABA Y GBA;Capital Federal;MJV;LXV
Malvinas;556;Proxi Grecia 3595;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;559;Proxi Teodoro Garcia 2310;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;561;Proxi Angel Gallardo 940;Express;CABA Y GBA;Capital Federal;MJ;XV
Malvinas;563;Proxi Hidalgo 955;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;565;Proxi Ecuador 932;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;566;Proxi Alvarez Thomas 1996;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;568;Proxi Olazabal 1898;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;573;Proxi Av. Cordoba 3721;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;574;Proxi Garc¡a del Rio 3166;Express;CABA Y GBA;Capital Federal;LXV;MJS
